Intent,Test Prompt
Abuse,Boyfriend hit me
Abuse,Domestic violence
Abuse,Girlfriend hit me
Abuse,How can I protect my myself from a violent girlfriend who is out to get me?
Abuse,How can stop my wife from hitting our kids?
Abuse,How do I protect myself from a partner who is trying to hurt me?
Abuse,How do I stop a stalker?
Abuse,How do I stop my ex from stalking me?
Abuse,Husband hit me
Abuse,My boyfriend chokes me sometimes. How do I make her stop?
Abuse,My boyfriend is beating me up. What can I do?
Abuse,My caretaker is not feeding me. What can I do?
Abuse,"My ex-boyfriend gives our teenage son cigarettes. I've asked him to stop, but he won't"
Abuse,My friend was stabbed by her boyfriend. What can she do?
Abuse,My friend was stabbed by her boyfriend. What can she do?
Abuse,My girlfriend is beating me up. What Can I do?
Abuse,My girlfriend stabbed me. What can I do?
Abuse,My partner chokes me sometimes. How do I make him stop?
Abuse,My partner is violent. What can I do to protect myself?
Abuse,My partner is violent. What can I do to protect myself?
Abuse,My son is not feeding me?
Abuse,Spouse hits me
Abuse,What can I do to get my husband from hitting our kids?
Abuse,What can I do to get my husband to stop hitting our kids?
Abuse,What can I do to stop my husband from hitting our kids?
Abuse,What legal help can I get to stop my wife from hitting our children?
Abuse,What legal help can I get to to stop my wife from hitting our kids?
Abuse,Where can I find information domestic violence?
Abuse,Where can I find information on how to stop my girlfriend from hitting me?
Abuse,Where can I find information on how to stop my husband from hitting me?
Abuse,Where can I find information on intimate partner violence?
Abuse,Wife hit me
AccessLegalInformationThroughOLIR,Legal research?
AccessLegalInformationThroughOLIR,Researching the law?
AccessLegalInformationThroughOLIR,Where can I get legal information?
AccessLegalInformationThroughOLIR,Where can I go to get legal information?
AccessLegalInformationThroughOLIR,Where can I go to get legal information?
AccessLegalInformationThroughOLIR,Where can I go to research legal issues?
AccessLegalInformationThroughOLIR,Where can I go to research legal issues?
AccessLegalInformationThroughOLIR,Where can I go to research the law?
AccessLegalInformationThroughOLIR,Where Can I learn about Virginia Law?
AccessLegalInformationThroughOLIR,Where can I read Virginia law?
AccessLegalInformationThroughOLIR,Where can I research the law?
AccessLegalInformationThroughOLIR,Where can I research the law?
ChildSupport,A friend got me pregnant. Will they have to pay for the kids baby clothes?
ChildSupport,Baby daddy 
ChildSupport,Baby daddy not paying up
ChildSupport,Baby momma not paying me
ChildSupport,Does an absent parent need to provide money for a son or daughter?
ChildSupport,Does an absent parent need to provide money for a son or daughter?
ChildSupport,Does my ex have to cover expenses for his kids?
ChildSupport,Does my ex need to cover expenses for our kids?
ChildSupport,Does my ex-wife owe money for her children?
ChildSupport,Does my ex-wife owe money for her children?
ChildSupport,Ex-boyfriend won't pay for my son's clothes
ChildSupport,How do I get money for my kids from their mom?
ChildSupport,How do I get money for my kids?
ChildSupport,How do I get money from my baby daddy for his kids?
ChildSupport,How do I get support for my children?
ChildSupport,How do I get support for my kids?
ChildSupport,How do I make my ex-husband pay child support?
ChildSupport,How do I make my ex-husband pay child support?
ChildSupport,How do I make my kids' father pay for them?
ChildSupport,How do I make my kids' father pay for them?
ChildSupport,"I had a one night stand with a friend, and now I'm pregnant. Does he have to pay anything?"
ChildSupport,I want my ex to pay for her kids. How can I do that?
ChildSupport,I want my ex to pay for his kids. What can I do?
ChildSupport,I'm pregnant. Will the father have to pay me?
ChildSupport,My ex is pregnant. Will I have to pay her?
ChildSupport,Will I have to pay my ex if he has full custody?
ConservatorOfThePeace,What does a conservator do?
ConservatorOfThePeace,What is a conservator
ConservatorOfThePeace,What is a conservator of the peace?
ConservatorOfThePeace,What is a conservator?
ConservatorOfThePeace,What is a person called who is appointed by the court to help someone?
ConservatorOfThePeace,What is a person called who is appointed by the court to help someone?
ConservatorOfThePeace,Who needs a conservator?
CourtGlossaryInfo,A judge asked me to file a bill of particulars. What does that mean?
CourtGlossaryInfo,A judge asked me to file a bill of particulars. What is that?
CourtGlossaryInfo,A judge said something about a bill of particular. Where can I find what that means?
CourtGlossaryInfo,A judge used the term unlawful detainer in court. What does that mean?
CourtGlossaryInfo,glossary
CourtGlossaryInfo,How do I figure out the meaning of a word used by a judge?
CourtGlossaryInfo,How do I look up what legal words mean?
CourtGlossaryInfo,How do I lookup words used in court?
CourtGlossaryInfo,How do I research what legal words mean?
CourtGlossaryInfo,How do I search terms used in court?
CourtGlossaryInfo,Is there a way to search the meaning of law words?
CourtGlossaryInfo,List of words
CourtGlossaryInfo,Where can I find a glossary of words used in court?
CourtGlossaryInfo,Where can I find a list of words used in court?
CourtGlossaryInfo,Where can I find the meaning of a legal word?
CourtGlossaryInfo,Where can I look the meaning of a word I found in a statute?
CourtGlossaryInfo,Where do I lookup something a judge told me?
CourtGlossaryInfo,Where do I lookup the meaning of something a judge told me?
CourthouseDevicePolicy,Are phones allowed in court?
CourthouseDevicePolicy,Can I bring my cell phone into court?
CourthouseDevicePolicy,Can I bring my cellphone to court?
CourthouseDevicePolicy,Can I bring my laptop to trial?
CourthouseDevicePolicy,Can I bring my smart watch into court?
CourthouseDevicePolicy,Can I have my kindle in court?
CourthouseDevicePolicy,Can I have my laptop in the courtroom?
CourthouseDevicePolicy,Can I show a judge text messages from my phone?
CourthouseDevicePolicy,Can I wear smart glasses in court?
CourthouseDevicePolicy,What devices can I have in court?
CourthouseDevicePolicy,What electronics can I bring to my trial?
CourthouseDevicePolicy,Will the court hold onto my cell phone for me? 
Custody,Ex won't give me my kid back
Custody,How do I change my visitation schedule with my ex?
Custody,"I have a fifty-fifty custody split with my ex, who is moving out of Virginia. I want my kids to stay here so they don't have to change schools."
Custody,I lost my job. Do I have to pay child support?
Custody,I'm getting remarried and want my new husband to also have legal custody. What do I need to do?
Custody,Im getting married and I want my new husband to custody of my kids. What can I do?
Custody,"My ex and I have a fifty-fifty custody agreement. She wants to move to Nashville for a new job. If she moves, I want the kids to have more time with me and in their regular school. Can our previous agreement be changed so that I get the kids more?"
Custody,My ex is telling our kids lies about me. What can I do stop that?
Custody,"My ex-husband smokes pot while around our teenage son. I've asked him to not do that, but according to my son, he still smokes. What should I do?"
Custody,"My ex-husband smokes pot while around our teenage son. I've asked him to not do that, but according to my son, he still smokes. What should I do?"
Custody,My ex-wife hits our son. How can I get full custody?
Custody,My son-in-law is mean to his kids. Can I as a grandparent get custody?
Custody,My son-in-law is mean to his kids. Can I as a grandparent get custody?
Custody,What do I do if my wife took the kids and left?
Custody,What if my ex moves away with my kids?
Default Fallback Intent,N/A
DefaultWelcomeIntent,N/A
Divorce,Can I just get an annulment instead of a divorce?
Divorce,Can I just get an annulment instead of a divorce?
Divorce,Do you have to get a divorce in the same state you got married?
Divorce,Do you have to have a separation agreement before you get a divorce?
Divorce,How can I stop being married to my spouse?
Divorce,How do I leave my husband?
Divorce,How do I leave my wife?
Divorce,how do I separate from my spouse?
Divorce,How do I separate from my spouse?
Divorce,I live in Virginia but my husband is stationed in Guam. Where can I file for divorce?
Divorce,"I live in Virginia, but my husband is stationed oversees. How do I file for divorce?"
Divorce,I'm trying to file for divorce  but don't know where my wife is. Can I still get a divorce?
Divorce,My wife hits me? How can I leave him?
DriverLicense,"After moving, how long do I have to update my license?"
DriverLicense,Do I have to get RealID?
DriverLicense,Do I have to have a Virginia license to buy a car and get its title?
DriverLicense,Do I have to have a Virginia license to buy a car and get its title?
DriverLicense,Do I have to update my license to Real ID?
DriverLicense,Do I have to update to Real ID?
DriverLicense,How do I get a learner's permit?
