title,url,text,filepath
Local index - HTTrack Website Copier,https://selfhelp.vacourts.gov/,"HTTrack Website Copier - Open Source offline browser
Local index - HTTrack
Index of locally available sites:
·
Home | Virginia Judicial System Court Self-Help
Mirror and index made by HTTrack Website Copier [XR&CO'2008]
© 2008 Xavier Roche & other contributors - Web Design: Leto Kauler.",/home/alex/va_courts_website/index.html
News | Virginia Judicial System Court Self-Help,https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/news02e4.html,"Guide to Virginia Legal Information Resources (2025)
An updated Guide to Virginia Legal Information Resources has been released. This document includes a list of legal information resources covering topics as varied as incorporating a business, contesting a traffic ticket, researching health law, obtai...
Access to Justice Listening Tour for Greater Richmond
The Access to Justice Commission of the Supreme Court of Virginia Invites you to a Public Hearing on Legal Services and Access to Justice in Greater RichmondWe want to hear about your experiences and frustrations:Has it been difficult to fi...
A Guide to Self-Representation in the Court of Appeals of Virginia
The Court of Appeals has issued a Self-Represented Litigant Guide to assist litigants who do not have an attorney to represent them in their appeals. In most civil cases, in particular, litigants who cannot afford an attorney do not have a right to a...
Eviction Defense Center website help
Virginia Poverty Law Center staff will be at the main branch of the Richmond Public Library to help people use a new online Eviction Defense Center. Renters at risk of losing their home can find step-by-step instructions for fighting evicti...
Guide to Virginia Legal Information Resources (2023)
This document includes a list of legal information resources covering topics as varied as incorporating a business, contesting a traffic ticket, researching health law, obtaining social security, renting a dwelling, buying a house, and writing a will...
New platform - new look
The web content management system for this website has been upgraded. No content was removed – but the changes provide a smoother mobile user experience. A new Quick Exit feature now appears on the upper right corner of every page. Clicking tha...
Online Legal Information Resources
AALL, the American Association of Law Libraries, now offers a new online legal resource, the Online Legal Information Resources (OLIR). The OLIR was developed to provide law librarians, public librarians and members of the public access to...
Hope Card Program in Virginia
The Hope Card Program has been expanded to all localities in the Commonwealth of Virginia. The Hope Card is a durable, plastic, wallet-sized card that summarizes a protective order's most important details in an easy-to-read format. A Hope Ca...
How to Apply for Your Birth Certificate as an Adult in Virginia
Blue Ridge Legal Services has created a guide to assist an adult residing in Virginia who is trying to get a copy of their own birth certificate. https://www.vsb.org/docs/Obtaining_adult_birth_cert.pdf The guide lists the steps to obtain a...
New publication - Options in Virginia to Help Another Person Make Decisions
This short publication from Virginia WINGS (Working Interdisciplinary Networks of Guardianship Stakeholders) covers ""Choices less restrictive than Guardianship and Conservatorship."" It outlines health/personal and financial decision-making options...
Pagination
- Page 1
- Next page",/home/alex/va_courts_website/selfhelp.vacourts.gov/news02e4.html
"Sorry, we can't find the page. | Virginia Judicial System Court Self-Help",https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/contact.html,"Virginia Judicial System Court Self-Help
Resources for Self-Represented Litigants in Virginia
Menu
Please search the website or explorer these popular pages.",/home/alex/va_courts_website/selfhelp.vacourts.gov/contact.html
Topics | Virginia Judicial System Court Self-Help,https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/topics.html,"Skip to main content
Virginia Judicial System Court Self-Help
Resources for Self-Represented Litigants in Virginia
Quick Exit
Search by Keywords
Search
Search
Menu
Find Legal Help
Find a Court
Find a Case
Find a Form
Common Legal Topics
Change Your Address
Custody, Visitation & Support
Divorce
Domestic Violence
Filing Fees & Waivers
Glossaries
Guardianship & Conservatorship
How to Change Your Address
Landlord - Tenant
Probate
Protective Orders
Resources for Veterans
Small Claims
Traffic Cases and Driver's Licenses
Traffic
Veterans
News and Publications
FAQs
Home
Topics
Topics",/home/alex/va_courts_website/selfhelp.vacourts.gov/topics.html
"Sorry, we can't find the page. | Virginia Judicial System Court Self-Help",https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/vacourts-self-help-divorce.html,"Virginia Judicial System Court Self-Help
Resources for Self-Represented Litigants in Virginia
Menu
Please search the website or explorer these popular pages.",/home/alex/va_courts_website/selfhelp.vacourts.gov/vacourts-self-help-divorce.html
Home | Virginia Judicial System Court Self-Help,https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/,"Virginia Free Legal Answers
Virginia.freelegalanswers.org is a free, fast, and easy service for Virginians who cannot afford a lawyer. The site can be accessed from any device anywhere, even at your public library. There is no cost to you to post your question or to receive an answer.
23 Apr 2025
Guide to Virginia Legal Information Resources (2025)
An updated Guide to Virginia Legal Information Resources has been released…
Continue Reading10 Apr 2025
Access to Justice Listening Tour for Greater Richmond
The Access to Justice Commission of the Supreme Court of Virginia Invites…
Continue Reading",/home/alex/va_courts_website/selfhelp.vacourts.gov/index.html
"Sorry, we can't find the page. | Virginia Judicial System Court Self-Help",https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/vacourts-self-help-probate-in-virginia.html,"Virginia Judicial System Court Self-Help
Resources for Self-Represented Litigants in Virginia
Menu
Please search the website or explorer these popular pages.",/home/alex/va_courts_website/selfhelp.vacourts.gov/vacourts-self-help-probate-in-virginia.html
News | Virginia Judicial System Court Self-Help,https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/news2679.html,"Civil Legal Response to COVID-19 in Virginia
During the COVID-19 crisis, Legal Aid programs are available to provide assistance and legal information on housing, public benefits and other issues which can be found here. To reach your local Legal Aid office please contact 1-866-LEGLAID ...
Supreme Court of Virginia Declares Judicial Emergency
On March 16, 2020 the Supreme Court of Virginia issued an order declaring a judicial emergency for all district and circuit courts of the Commonwealth to protect the health and safety of court employees, litigants, judges, and the general public...
New Online Resources for Guardians and Conservators
Two new resources now appear within the ""Guardianship and Conservatorship"" topic on the website: FAQs [frequently asked questions and answers] about the appointment of guardians and conservators for incapacitated adults: FAQs about Guardians an...
Resources for Veterans
The Military & Veteran Legal Resource Guide was published by the Virginia Office of the Attorney General. This booklet is for Virginia service members, their families, and veterans. It explains the legal protections, ri...
Statewide Senior Legal Helpline
The Virginia Poverty Law Center is proud to announce the Statewide Senior Legal Helpline is live and running! (844) 802-5910 This is a toll-free line offering legal assistance and advice for Virginians aged 60 or over. ...
Free and Low Cost Legal Resources Pamphlet
The Virginia State Bar offers this pamphlet that includes information for low- and modest-income Virginians about obtaining legal services.
""What to Do When You Can't Afford an Attorney""
The Virginia State Bar Special Committee on Access to Legal Services is pleased to offer access to a recording of the free public information webinar ""What to Do When You Can't Afford an Attorney"" held on November 29, 2016. (One must ...
Cell Phone & Electronic Device Policy
Most courts in Virginia do not allow you to bring a cell phone or other electronic device into the building. Plan ahead. If you have a specific question or need, contact your local court before you leave home and arrive at courthouse secu...
Pagination
- Previous page
- Page 2",/home/alex/va_courts_website/selfhelp.vacourts.gov/news2679.html
News | Virginia Judicial System Court Self-Help,https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/news.html,"Guide to Virginia Legal Information Resources (2025)
An updated Guide to Virginia Legal Information Resources has been released. This document includes a list of legal information resources covering topics as varied as incorporating a business, contesting a traffic ticket, researching health law, obtai...
Access to Justice Listening Tour for Greater Richmond
The Access to Justice Commission of the Supreme Court of Virginia Invites you to a Public Hearing on Legal Services and Access to Justice in Greater RichmondWe want to hear about your experiences and frustrations:Has it been difficult to fi...
A Guide to Self-Representation in the Court of Appeals of Virginia
The Court of Appeals has issued a Self-Represented Litigant Guide to assist litigants who do not have an attorney to represent them in their appeals. In most civil cases, in particular, litigants who cannot afford an attorney do not have a right to a...
Eviction Defense Center website help
Virginia Poverty Law Center staff will be at the main branch of the Richmond Public Library to help people use a new online Eviction Defense Center. Renters at risk of losing their home can find step-by-step instructions for fighting evicti...
Guide to Virginia Legal Information Resources (2023)
This document includes a list of legal information resources covering topics as varied as incorporating a business, contesting a traffic ticket, researching health law, obtaining social security, renting a dwelling, buying a house, and writing a will...
New platform - new look
The web content management system for this website has been upgraded. No content was removed – but the changes provide a smoother mobile user experience. A new Quick Exit feature now appears on the upper right corner of every page. Clicking tha...
Online Legal Information Resources
AALL, the American Association of Law Libraries, now offers a new online legal resource, the Online Legal Information Resources (OLIR). The OLIR was developed to provide law librarians, public librarians and members of the public access to...
Hope Card Program in Virginia
The Hope Card Program has been expanded to all localities in the Commonwealth of Virginia. The Hope Card is a durable, plastic, wallet-sized card that summarizes a protective order's most important details in an easy-to-read format. A Hope Ca...
How to Apply for Your Birth Certificate as an Adult in Virginia
Blue Ridge Legal Services has created a guide to assist an adult residing in Virginia who is trying to get a copy of their own birth certificate. https://www.vsb.org/docs/Obtaining_adult_birth_cert.pdf The guide lists the steps to obtain a...
New publication - Options in Virginia to Help Another Person Make Decisions
This short publication from Virginia WINGS (Working Interdisciplinary Networks of Guardianship Stakeholders) covers ""Choices less restrictive than Guardianship and Conservatorship."" It outlines health/personal and financial decision-making options...
Pagination
- Page 1
- Next page",/home/alex/va_courts_website/selfhelp.vacourts.gov/news.html
legal aid | Virginia Judicial System Court Self-Help,https://selfhelp.vacourts.gov/selfhelp.vacourts.gov/taxonomy/term/11.html,"Skip to main content
Virginia Judicial System Court Self-Help
Resources for Self-Represented Litigants in Virginia
Quick Exit
Search by Keywords
Search
Search
Menu
Find Legal Help
Find a Court
Find a Case
Find a Form
Common Legal Topics
Change Your Address
Custody, Visitation & Support
Divorce
Domestic Violence
Filing Fees & Waivers
Glossaries
Guardianship & Conservatorship
How to Change Your Address
Landlord - Tenant
Probate
Protective Orders
Resources for Veterans
Small Claims
Traffic Cases and Driver's Licenses
Traffic
Veterans
News and Publications
FAQs
Home
legal aid
legal aid
See All Topics
Find a Lawyer
Who is a Lawyer? A lawyer, also called an attorney, is someone who is licensed to practice law. Only a lawyer licensed to practice law in Virginia can provide you legal advice about a legal issue in Virginia.",/home/alex/va_courts_website/selfhelp.vacourts.gov/taxonomy/term/11.html
