Intent,Prompt,Response,Incorrect or incomplete page directs,Incorrect hyperlinks,Notes
Abuse,My boyfriend is beating me up. What can I do?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
Abuse,What legal help can I get to stop my wife from hitting our children?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
Abuse,My caretaker is not feeding me. What can I do?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify…","Should direct to DV, Types of Protective Orders, Protective Order Information Checklist, and Find a Lawyer","Should direct to DV, Types of Protective Orders, Protective Order Information Checklist, and Find a Lawyer",
Abuse,How do I stop a stalker?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
Abuse,My friend was stabbed by her boyfriend. What can she do?,Anytime. That's what I'm here for.,"Response should be ""It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?""","Should direct to DV, Types of Protective Orders, Protective Order Information Checklist, and Find a Lawyer",
Abuse,Where can I find information on how to stop my girlfriend from hitting me?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
Abuse,My partner chokes me sometimes. How do I make him stop?,NOT FOUND,"Should direct to DV, Types of Protective Orders, Protective Order Information Checklist, and Find a Lawyer",,
Abuse,My partner is violent. What can I do to protect myself?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
Abuse,Where can I find information on intimate partner violence?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
Abuse,How do I protect myself from a partner who is trying to hurt me?,"It sounds like you are having legal issues regarding Abuse, Stalking, or Neglect. Is this correct?",,"After selecting ""yes"", the link for ""Domestic Violence"" sends to the ""Types of Protective Orders"" page rather than the DV page. ",
AccessLegalInformationThroughOLIR,Where can I go to get legal information?,It sounds like you are looking for information relating to accessing legal information through the OLIR (Online Legal Information Resources) system. Is this correct?,"Should direct to the Online Legal Information Resources page, the Guide to Virginia Legal Information Resources, the Law Libraries page, the Find a Form page, and the FAQ's.",,"Response should not have the accronym ""OLIR"". "
AccessLegalInformationThroughOLIR,Where can I go to research legal issues?,"Below this are a few links related to how Virginia's self-help resources can help you, and how you can qualify. Our phone number and hours are listed on the 'Get Help - Main Page'. For specific office locations, there is a link below for that too. If you would like to try and briefly describe what legal issues you need help with, I can also help direct you to specific resources on our website. Additionally, I will provide you a link below to a short video about how to get legal assistance from Virginia's self-help resources and other available legal resources.","Should direct to the Online Legal Information Resources page, the Guide to Virginia Legal Information Resources, the Law Libraries page, the Find a Form page, and the FAQ's.",,
AccessLegalInformationThroughOLIR,Where can I go to research the law?,It sounds like you are looking for information relating to accessing legal information through the OLIR (Online Legal Information Resources) system. Is this correct?,"Should direct to the Online Legal Information Resources page, the Guide to Virginia Legal Information Resources, the Law Libraries page, the Find a Form page, and the FAQ's.",,
AccessLegalInformationThroughOLIR,Where can I read Virginia law?,NOT FOUND,"Should direct to the Online Legal Information Resources page, the Guide to Virginia Legal Information Resources, the Law Libraries page, the Find a Form page, and the FAQ's.",,
